Source title,Source Type,ISSN,EISSN,Publisher,Country/Region,Language,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8
Acoustical Physics,Journal,10637710,15626865,Pleiades Publishing,Russian Federation,ENGLISH,Acoustics and Ultrasonics,-,-,-,-,-,-,-
Acoustical Science and Technology,Journal,13463969,13475177,Acoustical Society of Japan,Japan,ENGLISH,Acoustics and Ultrasonics,-,-,-,-,-,-,-
Acoustics Australia,Journal,08146039,18392571,Springer,Singapore,ENGLISH,Acoustics and Ultrasonics,-,-,-,-,-,-,-
Acoustics Bulletin,Journal,0308437X,-,Institute of Acoustics,United Kingdom,ENGLISH,Acoustics and Ultrasonics,-,-,-,-,-,-,-
ACS Applied Bio Materials,Journal,-,25766422,American Chemical Society,United States,ENGLISH,Chemistry (all),Biomedical Engineering,Biomaterials,Biochemistry (medical),-,-,-,-
ACS Applied Electronic Materials,Journal,-,26376113,American Chemical Society,United States,ENGLISH,Electrochemistry,"Electronic, Optical and Magnetic Materials",Materials Chemistry,-,-,-,-,-
ACS Applied Energy Materials,Journal,-,25740962,American Chemical Society,United States,ENGLISH,Chemical Engineering (miscellaneous),Electrochemistry,Energy Engineering and Power Technology,Electrical and Electronic Engineering,Materials Chemistry,-,-,-
ACS Applied Materials and Interfaces,Journal,19448244,19448252,American Chemical Society,United States,ENGLISH,Materials Science (all),-,-,-,-,-,-,-
ACS Applied Nano Materials,Journal,-,25740970,American Chemical Society,United States,ENGLISH,Materials Science (all),-,-,-,-,-,-,-
ACS Applied Polymer Materials,Journal,-,26376105,American Chemical Society,United States,ENGLISH,Process Chemistry and Technology,Organic Chemistry,Polymers and Plastics,-,-,-,-,-
ACS Biomaterials Science and Engineering,Journal,-,23739878,American Chemical Society,United States,ENGLISH,Biomedical Engineering,Biomaterials,-,-,-,-,-,-
ACS Catalysis,Journal,-,21555435,American Chemical Society,United States,ENGLISH,Catalysis,Chemistry (all),-,-,-,-,-,-
ACS Central Science,Journal,23747943,23747951,American Chemical Society,United States,ENGLISH,Chemical Engineering (all),Chemistry (all),-,-,-,-,-,-
ACS Chemical Health and Safety,Journal,-,18780504,American Chemical Society,United States,ENGLISH,Chemical Health and Safety,Chemistry (all),"Public Health, Environmental and Occupational Health",-,-,-,-,-
ACS Energy Letters,Journal,-,23808195,American Chemical Society,United States,ENGLISH,Chemistry (miscellaneous),Energy Engineering and Power Technology,Fuel Technology,"Renewable Energy, Sustainability and the Environment",Materials Chemistry,-,-,-
ACS Macro Letters,Journal,-,21611653,American Chemical Society,United States,ENGLISH,Inorganic Chemistry,Organic Chemistry,Materials Chemistry,Polymers and Plastics,-,-,-,-
ACS Materials Letters,Journal,-,26394979,American Chemical Society,United States,ENGLISH,Chemical Engineering (all),Biomedical Engineering,Materials Science (all),-,-,-,-,-
ACS Nano,Journal,19360851,1936086X,American Chemical Society,United States,ENGLISH,Engineering (all),Materials Science (all),Physics and Astronomy (all),-,-,-,-,-
ACS Photonics,Journal,-,23304022,American Chemical Society,United States,ENGLISH,Biotechnology,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials","Atomic and Molecular Physics, and Optics",-,-,-,-
ACS Sensors,Journal,-,23793694,American Chemical Society,United States,ENGLISH,Bioengineering,Fluid Flow and Transfer Processes,Process Chemistry and Technology,Instrumentation,-,-,-,-
ACS Sustainable Chemistry and Engineering,Journal,-,21680485,American Chemical Society,United States,ENGLISH,Chemical Engineering (all),Chemistry (all),"Renewable Energy, Sustainability and the Environment",Environmental Chemistry,-,-,-,-
Acta Acustica,Journal,-,26814617,"European Acoustics Association, EAA",France,ENGLISH,Music,Computer Science Applications,Electrical and Electronic Engineering,Acoustics and Ultrasonics,Speech and Hearing,-,-,-
Acta Applicandae Mathematicae,Journal,01678019,15729036,Springer Science and Business Media B.V.,Netherlands,ENGLISH,Applied Mathematics,-,-,-,-,-,-,-
Acta Astronautica,Journal,00945765,-,Elsevier Ltd,United Kingdom,ENGLISH,Aerospace Engineering,-,-,-,-,-,-,-
Acta Biomaterialia,Journal,17427061,18787568,Acta Materialia Inc,United Kingdom,ENGLISH,Biochemistry,Biotechnology,Molecular Biology,Biomedical Engineering,Biomaterials,-,-,-
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",Journal,20525192,20525206,International Union of Crystallography,United Kingdom,ENGLISH,"Electronic, Optical and Magnetic Materials",Materials Chemistry,Metals and Alloys,"Atomic and Molecular Physics, and Optics",-,-,-,-
Acta Crystallographica Section C: Structural Chemistry,Journal,-,20532296,International Union of Crystallography,United Kingdom,ENGLISH,Inorganic Chemistry,Physical and Theoretical Chemistry,Materials Chemistry,Condensed Matter Physics,-,-,-,-
Acta Cybernetica,Journal,0324721X,2676993X,"University of Szeged, Institute of Informatics",Hungary,ENGLISH,Computer Science (miscellaneous),Computational Theory and Mathematics,Computer Vision and Pattern Recognition,Software,Information Systems and Management,Management Science and Operations Research,Electrical and Electronic Engineering,Theoretical Computer Science
Acta Geochimica,Journal,20960956,23657499,Science Press,United States,ENGLISH,Geochemistry and Petrology,-,-,-,-,-,-,-
Acta Geodaetica et Geophysica,Journal,22135812,22135820,Springer Nature,Switzerland,ENGLISH,Geology,Geophysics,Building and Construction,-,-,-,-,-
Acta Geophysica,Journal,18956572,18957455,Springer Science and Business Media Deutschland GmbH,Switzerland,ENGLISH,Geophysics,-,-,-,-,-,-,-
Acta Informatica,Journal,00015903,14320525,Springer Science and Business Media Deutschland GmbH,Germany,ENGLISH,Computer Networks and Communications,Information Systems,Software,-,-,-,-,-
Acta Materialia,Journal,13596454,-,Acta Materialia Inc,United Kingdom,ENGLISH,Ceramics and Composites,"Electronic, Optical and Magnetic Materials",Metals and Alloys,Polymers and Plastics,-,-,-,-
Acta Mechanica,Journal,00015970,16196937,Springer,Austria,ENGLISH,Computational Mechanics,Mechanical Engineering,-,-,-,-,-,-
Acta Mechanica Sinica/Lixue Xuebao,Journal,05677718,16143116,Springer Verlag,Germany,ENGLISH,Computational Mechanics,Mechanical Engineering,-,-,-,-,-,-
Acta Mechanica Solida Sinica,Journal,08949166,18602134,Springer,Singapore,ENGLISH,Computational Mechanics,Mechanical Engineering,Mechanics of Materials,-,-,-,-,-
Acta Petrologica Sinica,Journal,10000569,20958927,Science Press,China,CHINESE,Geochemistry and Petrology,-,-,-,-,-,-,-
Acta Physica Polonica A,Journal,05874246,1898794X,Polska Akademia Nauk,Poland,ENGLISH,Physics and Astronomy (all),-,-,-,-,-,-,-
Acta Physica Polonica B,Journal,05874254,15095770,Jagiellonian University,Poland,ENGLISH/FRENCH/GERMAN,Physics and Astronomy (all),-,-,-,-,-,-,-
"Acta Physica Polonica B, Proceedings Supplement",Journal,18992358,-,Jagiellonian University,Poland,ENGLISH/FRENCH/GERMAN,Physics and Astronomy (all),-,-,-,-,-,-,-
Acta Radiologica,Journal,02841851,16000455,SAGE Publications Inc.,United Kingdom,ENGLISH,"Radiology, Nuclear Medicine and Imaging",Radiological and Ultrasound Technology,-,-,-,-,-,-
"Acta Scientiarum Polonorum, Technologia Alimentaria",Journal,16440730,18989594,Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu,Poland,ENGLISH,Food Science,-,-,-,-,-,-,-
Acta Universitatis Cibiniensis - Series E: Food Technology,Journal,23441496,2344150X,Sciendo,Romania,ENGLISH,Food Science,Industrial and Manufacturing Engineering,-,-,-,-,-,-
Active and Passive Electronic Components,Journal,08827516,15635031,John Wiley and Sons Ltd,United Kingdom,ENGLISH,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",-,-,-,-,-,-
Ad Hoc Networks,Journal,15708705,15708713,Elsevier B.V.,Netherlands,ENGLISH,Computer Networks and Communications,Hardware and Architecture,Software,-,-,-,-,-
Ada User Journal,Journal,13816551,-,Ada-Europe,Portugal,ENGLISH,Software,-,-,-,-,-,-,-
Additive Manufacturing,Journal,-,22148604,Elsevier B.V.,Netherlands,ENGLISH,Engineering (miscellaneous),Biomedical Engineering,Industrial and Manufacturing Engineering,Materials Science (all),-,-,-,-
Adsorption,Journal,09295607,15728757,Springer,United States,ENGLISH,Chemical Engineering (all),Chemistry (all),Surfaces and Interfaces,-,-,-,-,-
Adsorption Science and Technology,Journal,02636174,20484038,SAGE Publications Ltd,United Kingdom,ENGLISH,Chemical Engineering (all),Chemistry (all),Surfaces and Interfaces,-,-,-,-,-
Advanced Biology,Journal,-,27010198,John Wiley and Sons Inc,Germany,ENGLISH,"Biochemistry, Genetics and Molecular Biology (all)",Biomedical Engineering,Biomaterials,-,-,-,-,-
Advanced Biomedical Engineering,Journal,-,21875219,Japan Soc. of Med. Electronics and Biol. Engineering,Japan,ENGLISH,Biotechnology,Computer Science Applications,Computer Vision and Pattern Recognition,Biomedical Engineering,Biomaterials,-,-,-
Advanced Composite Materials,Journal,09243046,15685519,Taylor and Francis Ltd.,United Kingdom,ENGLISH,Mechanical Engineering,Mechanics of Materials,Ceramics and Composites,-,-,-,-,-
Advanced Composites and Hybrid Materials,Journal,25220128,25220136,Springer Science and Business Media B.V.,Netherlands,ENGLISH,Materials Science (miscellaneous),Ceramics and Composites,Materials Chemistry,Polymers and Plastics,-,-,-,-
Advanced Control for Applications: Engineering and Industrial Systems,Journal,-,25780727,John Wiley and Sons Inc,United States,ENGLISH,Artificial Intelligence,Computer Networks and Communications,Computer Science Applications,Signal Processing,Energy (miscellaneous),Control and Systems Engineering,Modeling and Simulation,-
Advanced Devices and Instrumentation,Journal,-,27679713,American Association for the Advancement of Science,United States,ENGLISH,Engineering (miscellaneous),Electrical and Electronic Engineering,Instrumentation,"Atomic and Molecular Physics, and Optics",-,-,-,-
Advanced Drug Delivery Reviews,Journal,0169409X,18728294,Elsevier B.V.,Netherlands,ENGLISH,Pharmaceutical Science,-,-,-,-,-,-,-
Advanced Electromagnetics,Journal,-,21190275,Advanced Electromagnetics,France,ENGLISH,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",Radiation,-,-,-,-,-
Advanced Electronic Materials,Journal,-,2199160X,John Wiley and Sons Inc,United Kingdom,ENGLISH,"Electronic, Optical and Magnetic Materials",-,-,-,-,-,-,-
Advanced Energy and Sustainability Research,Journal,-,26999412,Wiley-VCH Verlag,Germany,ENGLISH,Energy Engineering and Power Technology,Environmental Science (miscellaneous),Ecology,Waste Management and Disposal,-,-,-,-
Advanced Energy Materials,Journal,16146832,16146840,John Wiley and Sons Inc,Germany,ENGLISH,"Renewable Energy, Sustainability and the Environment",Materials Science (all),-,-,-,-,-,-
Advanced Engineering Informatics,Journal,14740346,-,Elsevier Ltd,United Kingdom,ENGLISH,Artificial Intelligence,Information Systems,-,-,-,-,-,-
Advanced Engineering Materials,Journal,14381656,15272648,John Wiley and Sons Inc,Germany,ENGLISH,Materials Science (all),Condensed Matter Physics,-,-,-,-,-,-
Advanced Fiber Materials,Journal,25247921,2524793X,Springer,China,ENGLISH,Materials Science (miscellaneous),"Electronic, Optical and Magnetic Materials",Materials Chemistry,Polymers and Plastics,-,-,-,-
Advanced Functional Materials,Journal,1616301X,16163028,John Wiley and Sons Inc,Germany,ENGLISH,Chemistry (all),Electrochemistry,Materials Science (all),Biomaterials,"Electronic, Optical and Magnetic Materials",Condensed Matter Physics,-,-
Advanced Healthcare Materials,Journal,21922640,21922659,John Wiley and Sons Inc,Germany,ENGLISH,Biomedical Engineering,Biomaterials,Pharmaceutical Science,-,-,-,-,-
Advanced Industrial and Engineering Polymer Research,Journal,-,25425048,KeAi Communications Co.,China,ENGLISH,Chemical Engineering (miscellaneous),Industrial and Manufacturing Engineering,Materials Science (miscellaneous),Polymers and Plastics,-,-,-,-
Advanced Intelligent Systems,Journal,-,26404567,John Wiley and Sons Inc,United States,ENGLISH,Artificial Intelligence,Computer Vision and Pattern Recognition,Human-Computer Interaction,Control and Systems Engineering,Electrical and Electronic Engineering,Mechanical Engineering,Materials Science (miscellaneous),-
Advanced Manufacturing: Polymer and Composites Science,Journal,-,20550359,Taylor and Francis Ltd.,United Kingdom,ENGLISH,Management of Technology and Innovation,Electrical and Electronic Engineering,Polymers and Plastics,-,-,-,-,-
Advanced Materials,Journal,09359648,15214095,John Wiley and Sons Inc,Germany,ENGLISH,Mechanical Engineering,Mechanics of Materials,Materials Science (all),-,-,-,-,-
Advanced Materials Interfaces,Journal,-,21967350,John Wiley and Sons Inc,Germany,ENGLISH,Mechanical Engineering,Mechanics of Materials,-,-,-,-,-,-
Advanced Materials Technologies,Journal,-,2365709X,John Wiley and Sons Inc,United Kingdom,ENGLISH,Industrial and Manufacturing Engineering,Mechanics of Materials,Materials Science (all),-,-,-,-,-
Advanced Membranes,Journal,-,27728234,KeAi Communications Co.,China,ENGLISH,Chemical Engineering (miscellaneous),Filtration and Separation,Process Chemistry and Technology,Materials Science (miscellaneous),-,-,-,-
Advanced NanoBiomed Research,Journal,-,26999307,John Wiley and Sons Inc,United States,ENGLISH,Engineering (miscellaneous),Applied Microbiology and Biotechnology,Biomaterials,Medicine (miscellaneous),-,-,-,-
Advanced Optical Materials,Journal,-,21951071,John Wiley and Sons Inc,Germany,ENGLISH,"Electronic, Optical and Magnetic Materials","Atomic and Molecular Physics, and Optics",-,-,-,-,-,-
